n,u_n,v_n,w_n,abs_s_n,is_prime
312,5,2.303834612632515e-9,0,5,0
313,0.9999999999999994,3.2777283352453504e-8,0,0.9999999999999999,1
314,2,1.6650441064025905e-8,0,2,0
315,4,1.884955592153876e-9,0,4,0
316,3,8.691739674931761e-9,0,3,0
317,0.9999999999999994,3.319616237293214e-8,0,0.9999999999999999,1
318,3,6.0737457969402675e-9,0,3,0
319,2,4.188790204786391e-9,0,2,0
320,7,1.7802358370342162e-9,0,7,0
321,2,1.1519173063162575e-8,0,2,0
322,3,3.351032163829113e-9,0,3,0
323,2,3.769911184307752e-9,0,2,0
324,6,1.6755160819145566e-9,0,6,0
325,3,2.408554367752175e-9,0,3,0
326,2,1.7278759594743864e-8,0,2,0
327,2,1.1728612573401894e-8,0,2,0
328,4,4.92182849062401e-9,0,4,0
329,2,5.654866776461628e-9,0,2,0
330,4,2.1991148575128553e-9,0,4,0
331,0.9999999999999994,3.466223894460738e-8,0,0.9999999999999999,1
332,3,9.1106186954104e-9,0,3,0
333,3,4.50294947014537e-9,0,3,0
334,2,1.7697638615222504e-8,0,2,0
335,2,7.539822368615503e-9,0,2,0
336,6,1.884955592153876e-9,0,6,0
337,0.9999999999999993,3.529055747532534e-8,0,1,1
338,3,2.932153143350474e-9,0,3,0
339,2,1.2147491593880533e-8,0,2,0
340,4,2.7227136331111543e-9,0,4,0
341,2,4.3982297150257105e-9,0,2,0
342,4,2.8274333882308137e-9,0,4,0
343,3,2.1991148575128553e-9,0,3,0
344,4,5.131268000863329e-9,0,4,0
345,3,3.246312408709453e-9,0,3,0
346,2,1.832595714594046e-8,0,2,0
347,0.9999999999999993,3.6337755026521934e-8,0,1,1
348,4,3.769911184307752e-9,0,4,0
349,0.9999999999999993,3.654719453676126e-8,0,1,1
350,4,1.9896753472735356e-9,0,4,0
351,4,2.303834612632515e-9,0,4,0
352,6,2.1991148575128553e-9,0,6,0
353,0.9999999999999993,3.6966073557239896e-8,0,1,1
354,3,6.702064327658226e-9,0,3,0
355,2,7.958701389094143e-9,0,2,0
356,3,9.73893722612836e-9,0,3,0
357,3,2.827433388230814e-9,0,3,0
358,1.9999999999999998,1.8954275676658418e-8,0,1.9999999999999998,0
359,0.9999999999999993,3.759439208795785e-8,0,1,1
360,6,1.7802358370342162e-9,0,6,0
361,2,3.979350694547071e-9,0,2,0
362,1.9999999999999998,1.9163715186897738e-8,0,1.9999999999999998,0
363,3,2.6179938779914945e-9,0,3,0
364,4,2.5132741228718347e-9,0,4,0
365,2,8.168140899333462e-9,0,2,0
366,3,6.911503837897545e-9,0,3,0
367,0.9999999999999992,3.843215012891513e-8,0,0.9999999999999999,1
368,5,3.246312408709453e-9,0,5,0
369,3,4.92182849062401e-9,0,3,0
370,3,4.60766922526503e-9,0,3,0
371,2,6.283185307179587e-9,0,2,0
372,4,3.979350694547071e-9,0,4,0
373,0.9999999999999992,3.9060468659633086e-8,0,0.9999999999999999,1
374,3,3.1415926535897936e-9,0,3,0
375,4,1.884955592153876e-9,0,4,0
376,4,5.5501470213419685e-9,0,4,0
377,2,4.3982297150257105e-9,0,2,0
378,5,1.884955592153876e-9,0,5,0
379,0.9999999999999992,3.968878719035104e-8,0,0.9999999999999999,1
380,4,2.9321531433504735e-9,0,4,0
381,2,1.361356816555577e-8,0,2,0
382,1.9999999999999998,2.0210912738094336e-8,0,1.9999999999999998,0
383,0.9999999999999992,4.010766621082968e-8,0,0.9999999999999999,1
384,8,1.7802358370342164e-9,0,8,0
385,3,2.408554367752175e-9,0,3,0
386,1.9999999999999998,2.0420352248333655e-8,0,1.9999999999999998,0
387,3,5.131268000863329e-9,0,3,0
388,3,1.0576695267085638e-8,0,3,0
389,0.9999999999999992,4.0735984741547636e-8,0,0.9999999999999999,1
390,4,2.408554367752175e-9,0,4,0
391,2,4.188790204786391e-9,0,2,0
392,5,2.0943951023931954e-9,0,5,0
393,2,1.403244718603441e-8,0,2,0
394,1.9999999999999998,2.0839231268812295e-8,0,1.9999999999999998,0
395,2,8.796459430051421e-9,0,2,0
396,5,2.1991148575128553e-9,0,5,0
397,0.9999999999999991,4.1573742782504915e-8,0,1,1
398,1.9999999999999998,2.1048670779051614e-8,0,1.9999999999999998,0
399,3,3.0368728984701334e-9,0,3,0
400,6,1.884955592153876e-9,0,6,0
401,0.9999999999999991,4.1992621802983554e-8,0,1,1
402,3,7.539822368615503e-9,0,3,0
403,2,4.60766922526503e-9,0,2,0
404,3,1.0995574287564277e-8,0,3,0
405,5,1.7802358370342162e-9,0,5,0
406,3,3.979350694547071e-9,0,3,0
407,2,5.026548245743669e-9,0,2,0
408,5,2.7227136331111543e-9,0,5,0
409,0.9999999999999991,4.283037984394083e-8,0,1,1
410,3,5.026548245743669e-9,0,3,0
411,2,1.4660765716752369e-8,0,2,0
412,3,1.1205013797803597e-8,0,3,0
413,2,6.911503837897545e-9,0,2,0
414,4,3.246312408709453e-9,0,4,0
415,2,9.21533845053006e-9,0,2,0
416,6,2.408554367752175e-9,0,6,0
417,2,1.4870205226991689e-8,0,2,0
418,3,3.351032163829113e-9,0,3,0
419,0.999999999999999,4.3877577395137434e-8,0,0.9999999999999999,1
420,5,1.9896753472735356e-9,0,5,0
421,0.999999999999999,4.408701690537675e-8,0,0.9999999999999999,1
422,1.9999999999999998,2.230530784048753e-8,0,1.9999999999999998,0
423,3,5.5501470213419685e-9,0,3,0
424,4,6.178465552059927e-9,0,4,0
425,3,2.827433388230814e-9,0,3,0
426,3,7.958701389094143e-9,0,3,0
427,2,7.120943348136865e-9,0,2,0
428,3,1.1623892818282234e-8,0,3,0
429,3,2.827433388230814e-9,0,3,0
430,3,5.235987755982989e-9,0,3,0
431,0.999999999999999,4.513421445657335e-8,0,0.9999999999999999,1
432,7,1.7802358370342164e-9,0,7,0
433,0.999999999999999,4.534365396681267e-8,0,0.9999999999999999,1
434,3,4.188790204786391e-9,0,3,0
435,3,3.8746309394274115e-9,0,3,0
436,3,1.1833332328521554e-8,0,3,0
437,2,4.3982297150257105e-9,0,2,0
438,3,8.168140899333462e-9,0,3,0
439,0.9999999999999989,4.597197249753063e-8,0,1,1
440,5,2.303834612632515e-9,0,5,0
441,4,2.0943951023931954e-9,0,4,0
442,3,3.3510321638291132e-9,0,3,0
443,0.9999999999999989,4.639085151800926e-8,0,1,1
444,4,4.60766922526503e-9,0,4,0
445,2,9.84365698124802e-9,0,2,0
446,1.9999999999999998,2.3561944901923447e-8,0,1.9999999999999998,0
447,2,1.5917402778188285e-8,0,2,0
448,7,1.9896753472735356e-9,0,7,0
449,0.9999999999999989,4.701917004872722e-8,0,1,1
450,5,1.884955592153876e-9,0,5,0
451,2,5.445427266222309e-9,0,2,0
452,3,1.2252211349000193e-8,0,3,0
453,2,1.6126842288427605e-8,0,2,0
454,1.9999999999999996,2.3980823922402086e-8,0,1.9999999999999996,0
455,3,2.6179938779914945e-9,0,3,0
456,5,2.9321531433504735e-9,0,5,0
457,0.9999999999999989,4.78569280896845e-8,0,1,1
458,1.9999999999999996,2.4190263432641405e-8,0,1.9999999999999996,0
459,4,2.7227136331111543e-9,0,4,0
460,4,3.351032163829113e-9,0,4,0
461,0.9999999999999989,4.8275807110163136e-8,0,1,1
462,4,2.408554367752175e-9,0,4,0
463,0.9999999999999988,4.848524662040246e-8,0,0.9999999999999999,1
464,5,3.8746309394274115e-9,0,5,0
465,3,4.084070449666731e-9,0,3,0
466,1.9999999999999996,2.4609142453120045e-8,0,1.9999999999999996,0
467,0.9999999999999988,4.89041256408811e-8,0,0.9999999999999999,1
468,5,2.408554367752175e-9,0,5,0
469,2,7.749261878854823e-9,0,2,0
470,3,5.654866776461628e-9,0,3,0
471,2,1.6755160819145564e-8,0,2,0
472,4,6.806784082777885e-9,0,4,0
473,2,5.654866776461628e-9,0,2,0
474,3,8.796459430051421e-9,0,3,0
475,3,3.0368728984701334e-9,0,3,0
476,4,2.932153143350474e-9,0,4,0
477,3,6.178465552059927e-9,0,3,0
478,1.9999999999999996,2.5237460983838004e-8,0,1.9999999999999996,0
479,0.9999999999999988,5.016076270231701e-8,0,0.9999999999999999,1
480,7,1.884955592153876e-9,0,7,0
481,2,5.235987755982989e-9,0,2,0
482,1.9999999999999996,2.5446900494077323e-8,0,1.9999999999999996,0
483,3,3.4557519189487726e-9,0,3,0
484,4,2.7227136331111543e-9,0,4,0
485,2,1.0681415022205298e-8,0,2,0
486,6,1.7802358370342164e-9,0,6,0
487,0.9999999999999987,5.099852074327429e-8,0,1,1
488,4,7.016223593017205e-9,0,4,0
489,2,1.7383479349863522e-8,0,2,0
490,4,2.1991148575128553e-9,0,4,0
491,0.9999999999999987,5.141739976375293e-8,0,1,1
492,4,5.026548245743669e-9,0,4,0
493,2,4.81710873550435e-9,0,2,0
494,3,3.5604716740684324e-9,0,3,0
